상담회아이디,상담회주소,년,달,일,업체명,업종,설립년도,주소,홈페이지
2018 평창올림픽 연계 대규모 수출상담회(BKF),aT 센터 / 제2전시장 A홀,2018,2,22,"Ilhwa co.,ltd.",제조,1957,"96 BEOLMAL-RO, GURI-SI, GYEONGGI-DO, SOUTH KOREA",www.ilhwa.co.kr
2018 평창올림픽 연계 대규모 수출상담회(BKF),aT 센터 / 제2전시장 A홀,2018,2,22,Haegarden,기타식품,2002,"504-2 Yongdoodaero 36angil, Bongyangup, Jecheoncity, Choongbook",www.haegarden.com
2018 평창올림픽 연계 대규모 수출상담회(BKF),aT 센터 / 제2전시장 A홀,2018,2,22,"Korean Ginseng Research Co., Ltd.",제조,1996,"3275 Gyeonggang-ro,Yongmun-Myeon,Yangpyeong-Gun,Gyeonggi-Do, Korea",www.ginsengresearch.com
2018 평창올림픽 연계 대규모 수출상담회(BKF),aT 센터 / 제2전시장 A홀,2018,2,22,"Youn Sun Ae Cactut co.,Ltd",식품제조가공,2015,"1795-2, Donghae-daero, Heunghae-eup, Buk-gu, Pohang-si, Gyeongsangbuk-do, Republic of Korea","www,100nc.com"
2018 평창올림픽 연계 대규모 수출상담회(BKF),aT 센터 / 제2전시장 A홀,2018,2,22,PUNGGI GINSENG FARMING CORP.,인삼,1994,"1396, Yongju-ro, Anjeong-myeon, Yeongju-si, Gyeongsangbuk-do, Republic of Korea",www.goldsam.com
2018 평창올림픽 연계 대규모 수출상담회(BKF),aT 센터 / 제2전시장 A홀,2018,2,22,Imsil cheese livestock cooperative association,"제조, 금융, 서비스",1992,"329, Bonghwang-ro, Imsil-eup, Imsil-gun, Jeollabuk-do",www.ischeese.co.kr
2018 평창올림픽 연계 대규모 수출상담회(BKF),aT 센터 / 제2전시장 A홀,2018,2,22,badaone,"건어물, 건어물 가공, 무역업",1995,"495 Dunchondae-Ro, Jungwon-Gu, Seongnam City, Kyunggi Province",www.badaone.co.kr
2018 평창올림픽 연계 대규모 수출상담회(BKF),aT 센터 / 제2전시장 A홀,2018,2,22,"Jeju Natural Food co., Ltd.",잼류다류음료류,2009,"#163, Hamseon-ro, Jocheon-eup,Jeju-si, Jeju Special Self-Governing Province",http://nfc.ejeju.net
2018 평창올림픽 연계 대규모 수출상담회(BKF),aT 센터 / 제2전시장 A홀,2018,2,22,fnbio,제조업,2003,"230-8, Cheongwang-ro, Cheonbuk-myeon, Boryeong-si, Chungcheongnam-do, Korea (33403)",www.fnbio.co.kr
2018 평창올림픽 연계 대규모 수출상담회(BKF),aT 센터 / 제2전시장 A홀,2018,2,22,"wellfarm co., ltd",식품,2002,"87 Geumil-ro, 546beon-gil, Geumwang-eup, Eumgseong Gun, Chungcheongbuk-do, South Korea",www.well-farm.co.kr
2018 평창올림픽 연계 대규모 수출상담회(BKF),aT 센터 / 제2전시장 A홀,2018,2,22,"[K05] CHOLOCWON CO., LTD.",다류,2000,"45-15, Pyeongsa 1-gil, Jillyang-eup, Gyeongsan-si, Gyeongsangbuk-do, Korea, 38455",www.cholocwon.com
2018 평창올림픽 연계 대규모 수출상담회(BKF),aT 센터 / 제2전시장 A홀,2018,2,22,"Lotte Chilsung Beverage Co.,Ltd.","청량음료, 식품, 주류",1950,"15, Seocho-daero 70-gil, Seocho-gu, Seoul, Republic of Korea",http://company.lottechilsung.co.kr/eng/product/juice.jsp?nPos=020202
2018 평창올림픽 연계 대규모 수출상담회(BKF),aT 센터 / 제2전시장 A홀,2018,2,22,"GLAMI CO., LTD.","식품, 제조",1996,,www.glami.com
2018 평창올림픽 연계 대규모 수출상담회(BKF),aT 센터 / 제2전시장 A홀,2018,2,22,BADA MYEONGGA,수산물가공업,2014,,www.wandomall.co.kr
2018 평창올림픽 연계 대규모 수출상담회(BKF),aT 센터 / 제2전시장 A홀,2018,2,22,"[K26] PALDO CO., LTD","면, 음료 제조",1969,"577 GANGNAMDAERO, SEOCHO-GU, SEOUL, KOREA",www.paldofood.com
2018 평창올림픽 연계 대규모 수출상담회(BKF),aT 센터 / 제2전시장 A홀,2018,2,22,ADLAI Co. Ltd.,농수산물 도소매업,2015,"28, Daeyaigu-gil, Wando-eup, Wando-gun, Jeollanam-do",adlai.kr
2018 평창올림픽 연계 대규모 수출상담회(BKF),aT 센터 / 제2전시장 A홀,2018,2,22,ivycoffee,커피가공,2014,pyeong taek,www.cafemano.net
